"remark,\"CSV-Import-Export\"
remark,\"Date = Thu Nov 03 21:57:14 2016\"
remark,\"Version = RSLogix 5000 v20.01\"
remark,\"Owner = Avid\"
remark,\"Company = Avid Solutions\"
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,CM_232_PIT_009,\"Process from FL-232-002 to TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_010,\"TK-232-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PIT_012,\"PU-232-001 Outlet Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_011,\"TK-232-001 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_031,\"HX-232-001 Outlet Temp\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_033,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_034,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TIT_035,\"High Quality Steam Drain Temp TK-232-001\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_006,\"WFI to TP-361-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_008,\"CA to TP-361-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_012,\"CA to TP-361-002 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PIT_014,\"CA to TP-361-003 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_PIT_007,\"CA to TP-369-001 Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_MT_001,\"Filling Suite 1211 Humidity\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_006,\"Corridor 1004 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_006a,\"Corridor 1003 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_007,\"Corridor 1001 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_PDT_008,\"Filling Suite 1211 Differential Pressure\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_950_TT_030,\"Filling Suite 1211 Temperature\",\"P_AInHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_013,\"Process to TP-361-003 from DSP-200-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_013_DST,\"Process to TP-361-003 from DSP-200-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_014,\"CA to TP-361-003 Pressure\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_014_DST,\"CA to TP-361-003 Pressure Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_006,\"WFI to TP-361-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_006_DST,\"WFI to TP-361-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_008,\"CA to TP-361-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_008_DST,\"CA to TP-361-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_012,\"CA to TP-361-002 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_PY_012_DST,\"CA to TP-361-002 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_015,\"TP-361-003 to DSP-200-001 Pressure to Indicator\",\"P_AOut\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_200_PY_015_DST,\"TP-361-003 to DSP-200-001 Pressure to Indicator Device Signal Tag\",\"DST_REAL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PCV_007,\"TK-230-001 Recirculation Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_TCV_031,\"MPS to HX-230-001 Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PCV_007,\"TK-231-001 Recirculation Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_TCV_031,\"MPS to HX-231-001 Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PCV_007,\"TK-232-001 Recirculation Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_TCV_031,\"MPS to HX-232-001 Control Valve\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_PY_007,\"CA to TP-365-001 Pressure to INDICATOR\",\"P_AOutHART\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_210_PSE_101,\"TK-210-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_210_XS_101_DST,\"TK-210-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_211_PSE_101,\"TK-211-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_211_XS_101_DST,\"TK-211-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PSE_101,\"TK-230-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_XS_101_DST,\"TK-230-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_PSE_107,\"HX-230-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_230_XS_107_DST,\"HX-230-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PSE_101,\"TK-231-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_XS_101_DST,\"TK-231-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_PSE_107,\"HX-231-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_231_XS_107_DST,\"HX-231-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PSE_101,\"TK-232-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_XS_101_DST,\"TK-232-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_PSE_107,\"HX-232-001 Rupture Disk\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_232_XS_107_DST,\"HX-232-001 Rupture Disk Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_101,\"TP-361-001 A-B Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_101_DST,\"TP-361-001 A-B Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_102,\"TP-361-001 A-C Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_102_DST,\"TP-361-001 A-C Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_103,\"TP-361-001 A-G Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_103_DST,\"TP-361-001 A-G Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_104,\"TP-361-001 F-D Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_104_DST,\"TP-361-001 F-D Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_105,\"TP-361-001 F-E Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_105_DST,\"TP-361-001 F-E Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_106,\"TP-361-001 B-I Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_106_DST,\"TP-361-001 B-I Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_107,\"TP-361-001C-I Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_107_DST,\"TP-361-001C-I Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_201,\"TP-361-002 A-B Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_201_DST,\"TP-361-002 A-B Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_202,\"TP-361-002 A-C Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_202_DST,\"TP-361-002 A-C Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_301,\"TP-361-003 A-B Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_301_DST,\"TP-361-003 A-B Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_302,\"TP-361-003 A-C Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_361_ZS_302_DST,\"TP-361-003 A-C Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_101,\"TP-365-001 A-D Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_101_DST,\"TP-365-001 A-D Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_102,\"TP-365-001 B-E Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_102_DST,\"TP-365-001 B-E Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_103,\"TP-365-001 C-F Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_103_DST,\"TP-365-001 C-F Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_104,\"TP-365-001 H-D Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_104_DST,\"TP-365-001 H-D Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_105,\"TP-365-001 H-E Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_105_DST,\"TP-365-001 H-E Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_106,\"TP-365-001 H-F Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_106_DST,\"TP-365-001 H-F Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_107,\"TP-365-001 I-D Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_107_DST,\"TP-365-001 I-D Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_108,\"TP-365-001 I-E Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_108_DST,\"TP-365-001 I-E Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_109,\"TP-365-001 I-F Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_109_DST,\"TP-365-001 I-F Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_110,\"TP-365-001 I-G Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_110_DST,\"TP-365-001 I-G Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_111,\"TP-365-001 H-G Proximity Switch\",\"P_DIn\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
TAG,,CM_365_ZS_111_DST,\"TP-365-001 H-G Proximity Switch Device Signal Tag\",\"DST_BOOL_wStatus\",\"\",\"(Constant := false, ExternalAccess := Read/Write)\"
